"GEO_ID","id"
"NAME","Geographic Area Name"
"B06007_001E","Estimate!!Total:"
"B06007_001M","Margin of Error!!Total:"
"B06007_002E","Estimate!!Total:!!Speak only English"
"B06007_002M","Margin of Error!!Total:!!Speak only English"
"B06007_003E","Estimate!!Total:!!Speak Spanish:"
"B06007_003M","Margin of Error!!Total:!!Speak Spanish:"
"B06007_004E","Estimate!!Total:!!Speak Spanish:!!Speak English "very well""
"B06007_004M","Margin of Error!!Total:!!Speak Spanish:!!Speak English "very well""
"B06007_005E","Estimate!!Total:!!Speak Spanish:!!Speak English less than "very well""
"B06007_005M","Margin of Error!!Total:!!Speak Spanish:!!Speak English less than "very well""
"B06007_006E","Estimate!!Total:!!Speak other languages:"
"B06007_006M","Margin of Error!!Total:!!Speak other languages:"
"B06007_007E","Estimate!!Total:!!Speak other languages:!!Speak English "very well""
"B06007_007M","Margin of Error!!Total:!!Speak other languages:!!Speak English "very well""
"B06007_008E","Estimate!!Total:!!Speak other languages:!!Speak English less than "very well""
"B06007_008M","Margin of Error!!Total:!!Speak other languages:!!Speak English less than "very well""
"B06007_009E","Estimate!!Total:!!Born in state of residence:"
"B06007_009M","Margin of Error!!Total:!!Born in state of residence:"
"B06007_010E","Estimate!!Total:!!Born in state of residence:!!Speak only English"
"B06007_010M","Margin of Error!!Total:!!Born in state of residence:!!Speak only English"
"B06007_011E","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:"
"B06007_011M","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:"
"B06007_012E","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English "very well""
"B06007_012M","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English "very well""
"B06007_013E","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English less than "very well""
"B06007_013M","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English less than "very well""
"B06007_014E","Estimate!!Total:!!Born in state of residence:!!Speak other languages:"
"B06007_014M","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:"
"B06007_015E","Estimate!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English "very well""
"B06007_015M","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English "very well""
"B06007_016E","Estimate!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English less than "very well""
"B06007_016M","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English less than "very well""
"B06007_017E","Estimate!!Total:!!Born in other state in the United States:"
"B06007_017M","Margin of Error!!Total:!!Born in other state in the United States:"
"B06007_018E","Estimate!!Total:!!Born in other state in the United States:!!Speak only English"
"B06007_018M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak only English"
"B06007_019E","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:"
"B06007_019M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:"
"B06007_020E","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English "very well""
"B06007_020M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English "very well""
"B06007_021E","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English less than "very well""
"B06007_021M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English less than "very well""
"B06007_022E","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:"
"B06007_022M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:"
"B06007_023E","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English "very well""
"B06007_023M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English "very well""
"B06007_024E","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English less than "very well""
"B06007_024M","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English less than "very well""
"B06007_025E","Estimate!!Total:!!Native; born outside the United States:"
"B06007_025M","Margin of Error!!Total:!!Native; born outside the United States:"
"B06007_026E","Estimate!!Total:!!Native; born outside the United States:!!Speak only English"
"B06007_026M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak only English"
"B06007_027E","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:"
"B06007_027M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:"
"B06007_028E","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English "very well""
"B06007_028M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English "very well""
"B06007_029E","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English less than "very well""
"B06007_029M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English less than "very well""
"B06007_030E","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:"
"B06007_030M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:"
"B06007_031E","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English "very well""
"B06007_031M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English "very well""
"B06007_032E","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English less than "very well""
"B06007_032M","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English less than "very well""
"B06007_033E","Estimate!!Total:!!Foreign born:"
"B06007_033M","Margin of Error!!Total:!!Foreign born:"
"B06007_034E","Estimate!!Total:!!Foreign born:!!Speak only English"
"B06007_034M","Margin of Error!!Total:!!Foreign born:!!Speak only English"
"B06007_035E","Estimate!!Total:!!Foreign born:!!Speak Spanish:"
"B06007_035M","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:"
"B06007_036E","Estimate!!Total:!!Foreign born:!!Speak Spanish:!!Speak English "very well""
"B06007_036M","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:!!Speak English "very well""
"B06007_037E","Estimate!!Total:!!Foreign born:!!Speak Spanish:!!Speak English less than "very well""
"B06007_037M","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:!!Speak English less than "very well""
"B06007_038E","Estimate!!Total:!!Foreign born:!!Speak other languages:"
"B06007_038M","Margin of Error!!Total:!!Foreign born:!!Speak other languages:"
"B06007_039E","Estimate!!Total:!!Foreign born:!!Speak other languages:!!Speak English "very well""
"B06007_039M","Margin of Error!!Total:!!Foreign born:!!Speak other languages:!!Speak English "very well""
"B06007_040E","Estimate!!Total:!!Foreign born:!!Speak other languages:!!Speak English less than "very well""
"B06007_040M","Margin of Error!!Total:!!Foreign born:!!Speak other languages:!!Speak English less than "very well""
